[12:15:13] WARNING: /workspace/src/common/error_msg.cc:27: The tree method `gpu_hist` is deprecated since 2.0.0. To use GPU training, set the `device` parameter to CUDA instead.
    E.g. tree_method = "hist", device = "cuda"
[0]	validation_0-rmse:2705.00555
[1]	validation_0-rmse:1918.41443
[2]	validation_0-rmse:1444.35658
[3]	validation_0-rmse:1147.67310
[4]	validation_0-rmse:967.06011
[5]	validation_0-rmse:857.22615
[6]	validation_0-rmse:786.44682
[7]	validation_0-rmse:748.32142
[8]	validation_0-rmse:721.70404
[9]	validation_0-rmse:701.02452
[10]	validation_0-rmse:686.55274
[11]	validation_0-rmse:678.87151
[12]	validation_0-rmse:667.58731
[13]	validation_0-rmse:661.00687
[14]	validation_0-rmse:652.53022
[15]	validation_0-rmse:647.43868
[16]	validation_0-rmse:642.05802
[17]	validation_0-rmse:638.34950
[18]	validation_0-rmse:634.29562
[19]	validation_0-rmse:629.98982
[20]	validation_0-rmse:627.61914
[21]	validation_0-rmse:624.69378
[22]	validation_0-rmse:623.43006
[23]	validation_0-rmse:621.18687
[24]	validation_0-rmse:616.54582
[25]	validation_0-rmse:615.71854
[26]	validation_0-rmse:613.69654
[27]	validation_0-rmse:611.83358
[28]	validation_0-rmse:611.38531
[29]	validation_0-rmse:609.77744
[30]	validation_0-rmse:608.44797
[31]	validation_0-rmse:608.01357
[32]	validation_0-rmse:606.72148
[33]	validation_0-rmse:603.36639
[34]	validation_0-rmse:601.79194
[35]	validation_0-rmse:601.67264
[36]	validation_0-rmse:601.72188
[37]	validation_0-rmse:601.37024
[38]	validation_0-rmse:601.37268
[39]	validation_0-rmse:599.29704
[40]	validation_0-rmse:597.35913
[41]	validation_0-rmse:596.60793
[42]	validation_0-rmse:596.05912
[43]	validation_0-rmse:593.78245
[44]	validation_0-rmse:591.87748
[45]	validation_0-rmse:591.69227
[46]	validation_0-rmse:591.63379
[47]	validation_0-rmse:591.49182
[48]	validation_0-rmse:590.84644
[49]	validation_0-rmse:589.57515
[50]	validation_0-rmse:589.15932
[51]	validation_0-rmse:588.71589
[52]	validation_0-rmse:588.42634
[53]	validation_0-rmse:587.32954
[54]	validation_0-rmse:587.33372
[55]	validation_0-rmse:587.25075
[56]	validation_0-rmse:586.27620
[57]	validation_0-rmse:586.39036
[58]	validation_0-rmse:585.94247
[59]	validation_0-rmse:586.03169
[60]	validation_0-rmse:585.64391
[61]	validation_0-rmse:585.45541
[62]	validation_0-rmse:584.60715
[63]	validation_0-rmse:583.73732
[64]	validation_0-rmse:583.91316
[65]	validation_0-rmse:583.30438
[66]	validation_0-rmse:582.41745
[67]	validation_0-rmse:582.84376
[68]	validation_0-rmse:582.71245
[69]	validation_0-rmse:583.04111
[70]	validation_0-rmse:582.31252
[71]	validation_0-rmse:581.57835
[72]	validation_0-rmse:580.92712
[73]	validation_0-rmse:580.76182
[74]	validation_0-rmse:580.99512
[75]	validation_0-rmse:581.44554
[76]	validation_0-rmse:581.88658
[77]	validation_0-rmse:581.52098
[78]	validation_0-rmse:581.13958
[79]	validation_0-rmse:580.69049
[80]	validation_0-rmse:581.11001
[81]	validation_0-rmse:580.83113
[82]	validation_0-rmse:581.05721
[83]	validation_0-rmse:580.91286
[84]	validation_0-rmse:580.72793
[85]	validation_0-rmse:580.36368
[86]	validation_0-rmse:580.28286
[87]	validation_0-rmse:580.10515
[88]	validation_0-rmse:579.60032
[89]	validation_0-rmse:579.59059
[90]	validation_0-rmse:579.05963
[91]	validation_0-rmse:579.46734
[92]	validation_0-rmse:578.99559
[93]	validation_0-rmse:578.55710
[94]	validation_0-rmse:578.16289
[95]	validation_0-rmse:578.26595
[96]	validation_0-rmse:578.16163
[97]	validation_0-rmse:578.41755
[98]	validation_0-rmse:578.06187
[99]	validation_0-rmse:576.66191
[100]	validation_0-rmse:576.34298
[101]	validation_0-rmse:575.43388
[102]	validation_0-rmse:575.34745
[103]	validation_0-rmse:575.34893
[104]	validation_0-rmse:575.42549
[105]	validation_0-rmse:575.01299
[106]	validation_0-rmse:574.44642
[107]	validation_0-rmse:574.29513
[108]	validation_0-rmse:574.48910
[109]	validation_0-rmse:574.10305
[110]	validation_0-rmse:573.54751
[111]	validation_0-rmse:573.54958
[112]	validation_0-rmse:573.00098
[113]	validation_0-rmse:573.05305
[114]	validation_0-rmse:572.93354
[115]	validation_0-rmse:572.82389
[116]	validation_0-rmse:572.33415
[117]	validation_0-rmse:572.36925
[118]	validation_0-rmse:572.21386
[119]	validation_0-rmse:572.08437
[120]	validation_0-rmse:572.14149
[121]	validation_0-rmse:571.83922
[122]	validation_0-rmse:571.72378
[123]	validation_0-rmse:571.33697
[124]	validation_0-rmse:571.79031
[125]	validation_0-rmse:571.08427
[126]	validation_0-rmse:570.76721
[127]	validation_0-rmse:570.86040
[128]	validation_0-rmse:569.93644
[129]	validation_0-rmse:569.81752
[130]	validation_0-rmse:569.73150
[131]	validation_0-rmse:569.63500
[132]	validation_0-rmse:569.22594
[133]	validation_0-rmse:568.65745
[134]	validation_0-rmse:568.63731
[135]	validation_0-rmse:568.31055
[136]	validation_0-rmse:568.21381
[137]	validation_0-rmse:568.17398
[138]	validation_0-rmse:567.86106
[139]	validation_0-rmse:568.15348
[140]	validation_0-rmse:567.84054
[141]	validation_0-rmse:567.62626
[142]	validation_0-rmse:567.80233
[143]	validation_0-rmse:567.75736
[144]	validation_0-rmse:567.35044
[145]	validation_0-rmse:567.60844
[146]	validation_0-rmse:567.41751
[147]	validation_0-rmse:567.19907
[148]	validation_0-rmse:567.39091
