[12:15:13] WARNING: /workspace/src/common/error_msg.cc:27: The tree method `gpu_hist` is deprecated since 2.0.0. To use GPU training, set the `device` parameter to CUDA instead.
    E.g. tree_method = "hist", device = "cuda"
[0]	validation_0-rmse:2705.00555
[149]	validation_0-rmse:567.28657
[150]	validation_0-rmse:567.48883
[151]	validation_0-rmse:567.24804
[152]	validation_0-rmse:567.61770
[153]	validation_0-rmse:567.31247
[154]	validation_0-rmse:567.35854
[155]	validation_0-rmse:567.27339
[156]	validation_0-rmse:566.83718
[157]	validation_0-rmse:567.15151
[158]	validation_0-rmse:566.96199
[159]	validation_0-rmse:566.29526
[160]	validation_0-rmse:566.85417
[161]	validation_0-rmse:566.24391
[162]	validation_0-rmse:566.03161
[163]	validation_0-rmse:565.97059
[164]	validation_0-rmse:565.47304
